"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","stim","index","workerId","response"
"465.40000000596046","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = No confident at all AND 5 = Very confident. </i> </p>","53","html-keyboard-response","50","282721","0.0-8.0-3.8","stim/test/noi005_act10_scr0_con1_tri065.mp4","9","123","5"
"null","<div style=""font-size:60px; color:white;"">+</div>","null","html-keyboard-response","51","283731","0.0-8.0-0.9","","","",""
"null","","null","video-keyboard-response","52","289921","0.0-8.0-1.9","stim/test/noi005_act05_scr0_con1_tri005.mp4","","",""
"364.19999998807907","<div style=""font-size:24px; color:white;"">Did you see a person in the cloud?</div><p style=""font-size:24px;""> <i> Press ""J"" for Yes AND ""F"" for No. </i> </p>","74","html-keyboard-response","53","290287","0.0-8.0-2.9","stim/test/noi005_act05_scr0_con1_tri005.mp4","10","123","yes"
"181.5","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = No confident at all AND 5 = Very confident. </i> </p>","53","html-keyboard-response","54","290469","0.0-8.0-3.9","stim/test/noi005_act05_scr0_con1_tri005.mp4","10","123","5"
"null","<div style=""font-size:60px; color:white;"">+</div>","null","html-keyboard-response","55","291474","0.0-8.0-0.10","","","",""
"null","","null","video-keyboard-response","56","296603","0.0-8.0-1.10","stim/test/noi020_act06_scr1_con0_tri031.mp4","","",""
"466.69999998807907","<div style=""font-size:24px; color:white;"">Did you see a person in the cloud?</div><p style=""font-size:24px;""> <i> Press ""J"" for Yes AND ""F"" for No. </i> </p>","74","html-keyboard-response","57","297071","0.0-8.0-2.10","stim/test/noi020_act06_scr1_con0_tri031.mp4","11","123","yes"
"221.69999998807907","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = No confident at all AND 5 = Very confident. </i> </p>","53","html-keyboard-response","58","297293","0.0-8.0-3.10","stim/test/noi020_act06_scr1_con0_tri031.mp4","11","123","5"
"null","<div style=""font-size:60px; color:white;"">+</div>","null","html-keyboard-response","59","298300","0.0-8.0-0.11","","","",""
"null","","null","video-keyboard-response","60","303430","0.0-8.0-1.11","stim/test/noi020_act06_scr1_con1_tri082.mp4","","",""
"349.90000000596046","<div style=""font-size:24px; color:white;"">Did you see a person in the cloud?</div><p style=""font-size:24px;""> <i> Press ""J"" for Yes AND ""F"" for No. </i> </p>","74","html-keyboard-response","61","303780","0.0-8.0-2.11","stim/test/noi020_act06_scr1_con1_tri082.mp4","12","123","yes"
"204.5","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = No confident at all AND 5 = Very confident. </i> </p>","53","html-keyboard-response","62","303985","0.0-8.0-3.11","stim/test/noi020_act06_scr1_con1_tri082.mp4","12","123","5"
"null","<div style=""font-size:60px; color:white;"">+</div>","null","html-keyboard-response","63","304997","0.0-8.0-0.12","","","",""
"null","","null","video-keyboard-response","64","311174","0.0-8.0-1.12","stim/test/noi010_act05_scr1_con0_tri008.mp4","","",""
"363","<div style=""font-size:24px; color:white;"">Did you see a person in the cloud?</div><p style=""font-size:24px;""> <i> Press ""J"" for Yes AND ""F"" for No. </i> </p>","74","html-keyboard-response","65","311538","0.0-8.0-2.12","stim/test/noi010_act05_scr1_con0_tri008.mp4","13","123","yes"
"233.2000000178814","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = No confident at all AND 5 = Very confident. </i> </p>","53","html-keyboard-response","66","311772","0.0-8.0-3.12","stim/test/noi010_act05_scr1_con0_tri008.mp4","13","123","5"
"null","<div style=""font-size:60px; color:white;"">+</div>","null","html-keyboard-response","67","312778","0.0-8.0-0.13","","","",""
"null","","null","video-keyboard-response","68","318477","0.0-8.0-1.13","stim/test/noi005_act08_scr1_con0_tri015.mp4","","",""
